Designator,Mid X,Mid Y,Rotation,Layer
_6,157.931314,-117.111314,0.0,top
_5,133.8,-93.584,0.0,top
_4,157.908686,-104.388686,0.0,top
_3,137.588686,-117.088686,0.0,top
_2,161.0,-91.8,0.0,top
,137.6,-104.384,0.0,top
C1,133.8,-98.0,180.0,top
C2,133.4,-101.4,180.0,top
D2_12,129.175135,-106.516795,22.5,top
D2_11,133.752513,-86.333274,315.0,top
D2_10,129.824865,-92.016795,337.5,top
D2_9,128.0,-99.85,0.0,top
D2_8,166.999999,-99.85,0.0,top
D2_7,132.166726,-111.252513,45.0,top
D2_6,163.0,-111.5,315.0,top
D2_5,165.175134,-93.016795,22.5,top
D2_4,144.0,-81.0,0.0,top
D2_3,165.824865,-106.516795,337.5,top
D2_2,151.5,-81.0,0.0,top
D2,161.666726,-87.252513,45.0,top
J1,147.69,-104.349,270.0,top
J2,147.53,-119.4,90.0,top
R5,162.675,-100.0,180.0,top
U1,148.6,-91.425,90.0,top
